Song,Band,Number of Times Listened
Me Against Myself,Wage War,1
Hells Bells,AC/DC,1
Guest House,Daughters,1
Ocean Song,Daughters,1
The Reason They Hate Me,Daughters,1
Daughter,Daughters,1
Less Sex,Daughters,1
The Lords Song,Daughters,1
Satan in the Wait,Daughters,1
City Song,Daughters,1
Sag My Pants,Hopsin,1
New Modern Love,Halestorm,1
I'm Not An Angel,Halestorm,1
Rock Show,Halestorm,1
I Am The Fire,Halestorm,1
Run,Eklipse,1
Let Her Go,Break of Reality,1
Crystallize,Lindsey Stirling,1
The Book Of Love,Peter Gabriel,1
Music,David Garrett,1
KOD,J. Cole,1
Burn MF,Five Finger Death Punch,1
Knocking On Forbidden Doors,Enigma,1
Fight For Your Right,Beastie Boys,1
Crossroads,I Prevail,1
Breath,Breaking Benjamin,1
Bet U Wish U Had Me Back,Halestorm,1
Daughters of Darkness,Halestorm,1
Familiar Taste Of Poison,Halestorm,1
Amen,Halestorm,1
Bulls on Parade,Rage Against The Machine,1
Tell Her About It,Billy Joel,1
Goodnight Saigon,Billy Joel,1
Allentown,Billy Joel,1
Pressure,Billy Joel,1
She's Got a Way,Billy Joel,1
Don't Ask Me Why,Billy Joel,1
You May Be Right,Billy Joel,1
Big Shot,Billy Joel,1
My Life,Billy Joel,1
She's Always a Woman,Billy Joel,1
Only the Good Die Young,Billy Joel,1
Movin' Out,Billy Joel,1
Just the Way You Are,Billy Joel,1
Scenes from an Italian Restaurant,Billy Joel,1
Waterloo,ABBA,1
Baby Doll,Haley Reinhart,1
How Dare You,Haley Reinhart,1
Some Way Some How,Haley Reinhart,1
Broken Record,Haley Reinhart,1
"Honey, There's the Door",Haley Reinhart,1
Lay It Down,Haley Reinhart,1
So Happy,Theory Of A Deadman,1
Whatsername,Green Day,1
Give Me Novacaine / She's a Rebel,Green Day,1
Englands Finest,Pop Will Eat Itself,1
Amazing Grace,"Abramovic, Charles",1
Sorensen: Shine You No More,Danish String Quartet,1
"String Quartet No. 8 in F major, K. 168: I. Allegro",Eder Quartet & Wolfgang Amadeus Mozart,1
"Brahms: String Quartet No.2 In A Minor, Op.51 No.2 - 1. Allegro non troppo",Amadeus Quartet,1
"String Quartet in F major, Op. 3, No. 5, Hob.III:17, ""Serenade"" : II. Serenade: Andante cantabile",Kodaly Quartet,1
String Quartet No. 3 : Mishima / Closing,Kronos Quartet,1
Everything Zen,Bush,1
Send the Pain Below,Chevelle,1
Ænema,TOOL,1
"Violin Sonata in D Major, K. 306: III. Allegretto",Isabelle Faust & Alexander Melnikov,1
Lucid Dream,Mattia Serrentino,1
Soaring,Jon Schmidt,1
Cinematic Sundown,Los Olividados,1
Joyful,Jim Brickman,1
Calling You,Peter Kater,1
Ek Ong Kar Lullaby,White Sun,1
"Violin Sonata No. 6 in A Major, Op. 30 No. 1: II. Adagio molto espressivo",Krysia Osostowicz,1
Simple Song,Debussy Consort,1
"Goldberg Variations, BWV 988: Var. 19",Glenn Gould & Johann Sebastian Bach,1
"Beethoven: Piano Sonata No.18 in E flat, Op.31 No.3 -""The Hunt"" - 2. Scherzo",Claudio Arrau & Ludwig van Beethoven,1
"Etude In F Major, Op.72, No.6",Vladimir Horowitz,1
Thick as Thieves,Shinedown,1
NSFW,Psychostick,1
Bad Word,Panicland,1
Don't You Worry,311,1
Beyond the Gray Sky,311,1
Lucky,311,1
"Sonata for Violin & Keyboard No. 5 in F Minor, BWV 1018: II. Allegro",Renaud Capuçon & David Fray,1
"J.S. Bach: Partita for Violin Solo No. 1 in B Minor, BWV 1002 - 4. Double. Presto",Hilary Hahn,1
"J.S. Bach: Toccata And Fugue In D Minor, BWV 565 - 1. Toccata",Simon Preston & Johann Sebastian Bach,1
"J.S. Bach: The Art Of Fugue, BWV 1080 - Version For String Quartet - Canona alla Decima, in Contrapunto alla Terza","Eugene Drucker, Lawrence Dutton & Johann Sebastian Bach",1
"Vivaldi: Concerto In G Minor R439 op.10 No.2 ""La Notte"" - 1. Largo - Fantasmi. Presto","Andreas Blau, Berliner Philharmoniker, Herbert von Karajan & Antonio Vivaldi",1
"Keyboard Suite No. 1 in A major, HWV 426: II. Allemande",Alan Cuckston & George Frideric Handel,1
"J.S. Bach: Prelude & Fugue In E Major , BWV 854 - 1. Prelude",Pierre-Laurent Aimard & Johann Sebastian Bach,1
"Vivaldi: Violin Concerto in E Major, Op. 8, No. 1, RV 269 ""La Primavera"" - 1. Allegro","Simon Standage, Trevor Pinnock, The English Concert & Antonio Vivaldi",1
"Handel: Water Music Suite No.1 in F, HWV 348 - Presto",Orpheus Chamber Orchestra & George Frideric Handel,1
"J.S. Bach: Suite No.1 In C, BWV 1066 - 3. Gavotte I alternativement - 4. Gavotte II","The English Concert, Trevor Pinnock & Johann Sebastian Bach",1
"J.S. Bach: Concerto in D Minor, BWV 974 - 2. Adagio",Víkingur Ólafsson,1
"Viola Concerto in G major, TWV 51:G9: II. Allegro",Richard Edlinger & Georg Philipp Telemann,1
"J.S. Bach: Partita for Violin Solo No. 1 in B Minor, BWV 1002 - 5. Sarabande",Hilary Hahn,1
Albinoni: Adagio for Strings and Organ in G Minor,"Eriko Sato, Edward Brewer & Orpheus Chamber Orchestra",1
"Vivaldi: Concerto In G Minor R439 Op.10 No.2 ""La Notte"" - 3. Il sonno. Largo - Allegro","Andreas Blau, Berliner Philharmoniker, Herbert von Karajan & Antonio Vivaldi",1
La Catedral: I. Preludio saudade,Thibaut Garcia,1
"Unaccompanied Cello Suite No. 3 in C Major, BWV 1009: V. Bourrées I & II",Yo-Yo Ma,1
Pachelbel: Canon And Gigue In D Major - Arr. Max Seiffert,"Berliner Philharmoniker, Herbert von Karajan & Frank Maus",1
"Vivaldi: Violin Concerto in G Minor, Op. 8, No. 2, RV 315 ""L'estate"" - 3. Presto","Simon Standage, The English Concert, Trevor Pinnock & Antonio Vivaldi",1
"Shostakovich: String Quartet No.8 In C Minor, Op.110 - 5. Largo",Emerson String Quartet,1
"Dvorák: Symphony No.9 In E Minor, Op.95, B. 178  ""From The New World"" - 3. Molto vivace",Wiener Philharmoniker & Herbert von Karajan,1
Lost Six,Enigma,1
Lost Eleven,Enigma,1
La Historia De 'Sadeness ',Enigma,1
L'Histoire De 'Sadeness ',Enigma,1
L'Histoire De 'Amen',Enigma,1
L'Histoire De 'Mother',Enigma,1
Seven Lives,Enigma,1
L'Histoire De 'Circle Eight',Enigma,1
Boum-Boum,Enigma,1
The Story Of 'Confession Of The Mind',Enigma,1
The Story Of 'Lost In Nothingness',Enigma,1
The Story Of 'Absolvo',Enigma,1
Lost Ten,Enigma,1
The Story Of 'Sadeness ',Enigma,1
The Story Of 'The Die Is Cast',Enigma,1
Endless Quest,"Enigma, Jens Gad & Michael Cretu",1
Between Mind & Heart,"Enigma, Jens Gad & Michael Cretu",1
Traces,"Enigma, Jens Gad & Michael Cretu",1
Camera Obscura,"Enigma, Michael Cretu & Jens Gad",1
The Gate,"Enigma, Jens Gad & Michael Cretu",1
The Screen Behind The Mirror,"Enigma, Jens Gad & Michael Cretu",1
Message From Io,Enigma,1
Hell's Heaven,Enigma,1
Distorted Love,Enigma,1
Dancing With Mephisto,Enigma,1
The Alchemist,Enigma,1
Almost Full Moon,Enigma,1
Gatekeeper,As I Lay Dying,1
Prism Of Life,Enigma,1
Encounters,Enigma,1
Wild Eyes,Parkway Drive,1
Fata Morgana,Enigma,1
Oxygen Red,Enigma,1
Feel Me Heaven,Enigma,1
Unleashed,Killswitch Engage,1
Sitting On The Moon,Enigma,1
The Roundabout,Enigma,1
Je T'aime Till My Dying Day,Enigma,1
20.000 Miles Over The Sea,Enigma,1
Circle Eight,Enigma,1
Why!...,Enigma,1
The Omega Point,Enigma,1
The Same Parents,Enigma,1
Touchness,Enigma,1
Second Chapter,Enigma,1
Back To The Rivers Of Belief: Way To Eternity / Hallelujah / The Rivers Of Belief,Enigma,1
The Voice & The Snake,Enigma,1
Walk On By,Black Violin,1
"Toccata And Fugue In D Minor For Organ, BWV 565",Various artists & Johann Sebastian Bach,1
"J.S. Bach: Concerto for Oboe d'amore, Strings, and Continuo in A, BWV 1055 - reconstruction after Concerto for Harpsichord, Strings, and Continuo in A, BWV 1055 - Larghetto","Heinz Holliger, Academy of St. Martin in the Fields, Iona Brown & Johann Sebastian Bach",1
"J.S. Bach: Orchestral Suite No.3 in D Major, BWV 1068 - 2. Air","Münchener Bach-Orchester, Karl Richter & Johann Sebastian Bach",1
"Keyboard Concerto No. 5 in F Minor, BWV 1056: II. Largo",Andrei Gavrilov/Academy of St Martin-in-the-Fields/John Constable/Sir Neville Marriner & Johann Sebastian Bach,1
"Cello Suite No. 1 in G major, BWV 1007: 3. Courante",Juris Teichmanis & Johann Sebastian Bach,1
Eulogy,TOOL,1
Dance Of The Clairvoyants,Pearl Jam,1
Freak Out,311,1
Feels So Good,311,1
"Reich: Music For Mallet Instruments, Voices And Organ","Russ Hartenberger, Bob Becker, Tim Ferchen, Steve Reich, Glen Velez, Ben Harms, James Preiss, Janice Jarrett, Joan Labarbara, Jay Clayton & Steve Chambers",1
Music For 18 Musicians: Section I,Steve Reich And Musicians,1
Fantastic Four Prelude,Marco Beltrami & Philip Glass,1
Hallelujah Junction - 1st Movement,John Adams,1
The Heart Asks Pleasure First,Michael Nyman,1
Glassworks: I. Opening,Philip Glass & Philip Glass Ensemble,1
"Chopin: Nocturne No.19 In E Minor, Op.72 No.1",Daniel Barenboim & Frédéric Chopin,1
"Shostakovich: Piano Concerto No.2 in F, Op.102 - 3. Allegro","Cristina Ortiz, Royal Philharmonic Orchestra & Vladimir Ashkenazy",1
"Rachmaninov: Piano Concerto No. 2 in C Minor, Op. 18 - I. Moderato","Sviatoslav Richter, Warsaw National Philharmonic Orchestra & Stanislaw Wislocki",1
"Shostakovich: Piano Concerto No.1 for piano, trumpet & strings, Op.35 - 1. Allegretto","Peter Jablonski, Raymond Simmons, Royal Philharmonic Orchestra & Vladimir Ashkenazy",1
"Schubert: Piano Sonata No.20 In A Major, D.959 - 1. Allegro",Krystian Zimerman,1
"Nocturnes, Op. 37: No. 2 in G Major",Arthur Rubinstein,1
Can You Feel the Love Tonight?,Relaxing Piano,1
Otherside,Red Hot Chili Peppers,1
Head Like A Hole,Nine Inch Nails,1
"Beethoven: Piano Sonata No.14 in C sharp minor, Op.27 No.2 -""Moonlight"" - 1. Adagio sostenuto",Claudio Arrau & Ludwig van Beethoven,1
Minuet in G,Various artists & Ludwig van Beethoven,1
Grande Valse Brillante In E Flat Op.18,Alexis Weissenberg & Frédéric Chopin,1
"Chopin: Nocturne No.17 In B, Op.62 No.1",Daniel Barenboim & Frédéric Chopin,1
Chopin: Waltz In A Minor Opus Posth. Kk4B No.11 - Allegretto,Alice Sara Ott & Frédéric Chopin,1
All I Have,Francesco Tristano,1
Have Yourself a Merry Little Christmas,Simply Three,1
Downton Abbey,Brooklyn Duo,1
Stay with Me,Vitamin String Quartet,1
Burn the Pages,Piano Dreamers,1
In Between,Beartooth,1
Paparrazzi,Eklipse,1
Guiding Light,Simply Three,1
Smooth Criminal,Dallas String Quartet,1
Le Sud,Camille Berthollet & Julie Berthollet,1
Star Wars - Cantina Band,Vitamin String Quartet,1
Home,Eklipse,1
I'm Yours,Simply Three,1
Something Wild,Lindsey Stirling,1
Winter Wonderland,Simply Three,1
Generation Why,Simply Three,1
Pachelbel's Canon,Jennifer Thomas,1
Rains of Castamere,Break of Reality,1
Attack on Titan Theme,Taylor Davis,1
Elements,Lindsey Stirling,1
Clocks,Eklipse,1
Riptide,Simply Three,1
Too Good at Goodbyes,Daniel Jang,1
May it Be,2Cellos,1
Duke's End,Genesis,1
The Freshmen,The Verve Pipe,1
Lingering Effects,Roger Saint-Denis,1
Mysterious Way,Bernward Koch,1
Einaudi: Samba,Ludovico Einaudi,1
Holy Wars...The Punishment Due,Megadeth,1
"Jesus Loves Me, This I Know",Hymns on Piano,1
"Piano Sonata No. 14 in C-Sharp Minor, Op. 27, No. 2 ""Moonlight Sonata"": I. Adagio sostenuto",Evelyne Dubourg & Ludwig van Beethoven,1
"Scenes from Childhood, Op. 15: VII. Träumerei",Evelyne Dubourg,1
Miscellanea,10 Years,1
Wish You Hell,Like A Storm,1
Lavender Hills,Soothing Piano Classics for Sleeping Babies,1
"Debussy: Images - Book 1, L. 110 - 3. Mouvement",Pascal Rogé,1
Somewhere Over the Rainbow,Soft Background Music,1
Deep Sleep with Relaxing Guitar Music,Serenity Spa Music Relaxation,1
The Blessing,Mars Lasar,1
Return to the Heart,New Age Piano Masters,1
The Velocity of Love,Suzanne Ciani,1
"Pachelbel's Canon In D Major  Cannon In D, Kanon In",Pachelbel's Canon In D Major,1
"Violin Sonata No. 3 in D Minor, Op. 108: III. Un poco presto e con sentimento",Pierre Fouchenneret & Éric Le Sage,1
Do You?,Yiruma,1
A Pillow in the Sky,Ann Sweeten,1
An Evening Walk,Bernward Koch,1
Devotion,Aeoliah,1
god,Jean-Michel Blais,1
Big Sky Sunset,Jon Schmidt,1
All Your Dreams - Relaxing Piano Music,Serenity Spa Music Relaxation,1
Poem+,Yiruma,1
Willow,Helen Jane Long,1
Love Me,Yiruma,1
The Eagle,Niall,1
Ra Ma Da Sa,Snatam Kaur,1
Ease and Release,Roger Saint-Denis,1
At the Ivy Gate,Brian Crain,1
Loanna,Yiruma,1
Keepers of the Flame,Kevin Kern,1
Hands of Love,Deuter,1
Make It Easy,Yes,1
That's My Jam,Piano Tribute Players,1
O Little Town of Bethlehem,Hudson Valley Saxophone Orchestra,1
Heart of Courage,Thomas Bergersen & Two Steps from Hell,1
I Like It Heavy,Halestorm,1
Rise Today,Alter Bridge,1
Gonna Get Mine,Halestorm,1
"Top Hits, Vol. 1: Rather Be",Dallas String Quartet,1
Eleanor Rigby,Dallas String Quartet,1
Yesterday,Dallas String Quartet,1
California Gurls,Dallas String Quartet,1
Libertango,Dallas String Quartet,1
Bittersweet Symphony,Dallas String Quartet,1
Livin' on a Prayer,Dallas String Quartet,1
Head Over Feet,Alanis Morissette,1
No Rain,Blind Melon,1
Lucid Dreams,Juice WRLD,1
SAD!,XXXTentacion,1
Tears Roll Down,Tears For Fears,1
Native Blood Redux,The Silent Planet,1
Break Stuff,Limp Bizkit,1
Let Me Clear My Throat,DJ Kool,1
House of Pain,Van Halen,1
Girl Gone Bad,Van Halen,1
I'll Wait,Van Halen,1
Drop Dead Legs,Van Halen,1
Top Jimmy,Van Halen,1
1984,Van Halen,1
Ants Marching,Dave Matthews Band,1
Runaway Train,"Soul Asylum, Daniel Murphy, David Pirner, Grant Young & Karl Mueller",1
Sober Addiction,Wakrat,1
Since 1776,I Am Abomination,1
Satellites,Cherry Monroe,1
Oh the Places You'll Go,I Fight Dragons,1
"Day Late, Dollar Short",The Acro-brats,1
Turtle Wax,Infectious Grooves,1
Freaks,Bionic Jive,1
Alone in the Universe,The Motorleague,1
Getaway,Summertime Dropouts,1
Open Water,Assuming We Survive,1
Let Go,Wildview,1
Sin City - Tony Hawk's Underground 2,Dead End Road,1
Shut up and Dance,Vitamin String Quartet,1
Call on Me,Chicago,1
Wishing You Were Here,Chicago,1
Colour My World,Chicago,1
Purple Haze,2Cellos,1
"Pachelbel, Canon in D Major Instrumental Version 1",Instrumental Music Factory,1
Star Collector,The Monkees,1
Il Libro Dell 'Amore,2Cellos,1
Take Flight,Lindsey Stirling,1
Piano Fantasy,William Joseph,1
A La Turca,David Garrett,1
You've Lost That Lovin Feelin',Royal Philharmonic Orchestra,1
Something I Can Never Have,Vitamin String Quartet,1
I Will Wait,2Cellos,1
The Cinema Show,Genesis,1
After the Ordeal,Genesis,1
"Unaccompanied Cello Suite No. 4 in E-Flat Major, BWV 1010: Courante",Yo-Yo Ma & Johann Sebastian Bach,1
Half-Truism,The Offspring,1
Paparazzi,Dallas String Quartet,1
Shadows,Lindsey Stirling,1
Pachelbel Canon,Relaxing Cello Music,1
Where Is My Mind,Maxence Cyrin,1
Deep Theta 4 Hz,Steven Halpern,1
Mistakes Like Fractures,Knocked Loose,1
"Nocturne in C-Sharp Minor, B. 49",Janusz Olejniczak,1
"6 Piano Pieces, Op. 118: No. 2. Intermezzo in A Major: Andante teneramente",Idil Biret,1
"Schumann: Liederkreis, Op. 39 - 5. Mondnacht",Isata Kanneh-Mason,1
"Nocturne in E minor, Op. 72, No. 1",Janusz Olejniczak,1
"Piano Sonata No.4 In E Flat, Op.7 - 1. Allegro Molto E Con Brio",Alfred Brendel & Ludwig van Beethoven,1
"Piano Concerto No. 26 in D Major, K. 537 ""Coronation"": I. Allegro","Gyula Kiss, Hungarian Radio Symphony Orchestra & Wolfgang Amadeus Mozart",1
"Schubert: 4 Impromptus, Op.90, D.899 - No.4 in A flat: Allegretto",Mitsuko Uchida & Franz Schubert,1
No. 1 in B major. Andante,Brigitte Engerer & Frédéric Chopin,1
Adagio,Bela Clovaks & Wolfgang Amadeus Mozart,1
"Ravel: Jeux d'eau, M.30",Martha Argerich & Maurice Ravel,1
It Can Happen,Yes,1
Marsh,Eminem,1
Darkness,Eminem,1
Hated,Beartooth,1
Alfred,Eminem,1
No Regrets,Eminem,1
Farewell,Eminem,1
Lock It Up,Eminem,1
Never Love Again,Eminem,1
Country As Fuck,Shaman's Harvest,1
Angel Without Wings,Saving Abel,1
"The Tale of Tsar Saltan, Act 3: Flight of the Bumble Bee",George Li,1
"Nocturnes, Op. 62: No. 1 in B",Arthur Rubinstein,1
L´Oiseau de feu: I. Danse infernale,Beatrice Rana,1
Reborn,Alexis Ffrench,1
Mozart - Turkish March,Klasik Müzik Akademi & Claude Debussy,1
"Preludes, Book 2 : No. 8: Ondine",Francois-Joel Thiollier,1
"Ravel: Gaspard de la nuit, M.55 - 1. Ondine",Martha Argerich & Maurice Ravel,1
Meditation,RIOPY,1
"Chopin: Nocturne No.4 In F, Op.15 No.1",Daniel Barenboim & Frédéric Chopin,1
Andante,Istvan Szekely & Wolfgang Amadeus Mozart,1
"Sonata No. 16 in C Major for Piano, K. 545, ""Sonata facile"": III. Rondo: Allegretto",Carmen Piazzini & Wolfgang Amadeus Mozart,1
"Debussy: Préludes / Book 1, L.117 - 8. La fille aux cheveux de lin",Pascal Rogé,1
"Piano Sonata No. 31 in A-Flat Major, Op. 110: I. Moderato cantabile molto espressivo",Alexandre Tharaud,1
"Mozart: Piano Sonata No. 12 in F Major, K. 332 - II. Adagio",Maria João Pires & Wolfgang Amadeus Mozart,1
"Preludes, Book 1: No. 8: La fille aux cheveux de lin",Francois-Joel Thiollier,1
Cello Suite No.1 In G BWV1007: Menuet I & II,Pablo Casals & Johann Sebastian Bach,1
"Saint-Saëns: Piano Concerto No. 4 in C Minor, Op. 44 - 2. Allegro vivace - Andante - Allegro","Pascal Rogé, Philharmonia Orchestra, Charles Dutoit & Camille Saint-Saëns",1
Einaudi: View From The Other Side,Ludovico Einaudi & Federico Mecozzi,1
Raoul and the Kings of Spain,Tears For Fears,1
Headlong,Queen,1
I'm Going Slightly Mad,Queen,1
Innuendo,Queen,1
Voices Inside My Head,The Police,1
"When The World Is Running Down, You Make The Best Of What's Still Around",The Police,1
Driven To Tears,The Police,1
Don't Stand So Close To Me,The Police,1
Want You Bad,The Offspring,1
"Beethoven: Symphony No.5 in C Minor, Op.67 - 1. Allegro con brio","Chicago Symphony Orchestra, Sir Georg Solti & Ludwig van Beethoven",1
"Rosary Sonata No. 1 in D Minor, ""The Annunciation""","Rachel Podger, Marcin Swiatkiewicz, David Miller & Heinrich Ignaz Franz Biber",1
"Le bourgeois gentilhomme, LWV 43: Marche pour la cérémonie des Turcs",Alexandre Tharaud,1
"J. Strauss I: Radetzky-Marsch, Op.228",Berliner Philharmoniker & Herbert von Karajan,1
"Scottish Fantasy for Violin and Orchestra, Op. 46: IV. Finale: Allegro guerriero",Joshua Bell & Academy of St Martin in the Fields,1
"Mozart: Piano Concerto No. 21 in C Major, K. 467 - II. Andante","Friedrich Gulda, Wiener Philharmoniker, Claudio Abbado & Wolfgang Amadeus Mozart",1
"Shore, Ryan, Enya, Ryan: May it be",Voces8,1
"6 Grandes études de Paganini, S. 141: No. 3 in G-Sharp Minor, ""La campanella""",George Li,1
Captain Humes Poeticall Musicke: Sweet Ayre - The Earle Of Aundels Favoret,Les Voix Humaines & Tobias Hume,1
Wien wird bei Nacht erst schön,Jonas Kaufmann,1
"Pavan, ""Mr. Weelkes his 3 Pavin""",Fretwork,1
Trumpet Sonatine: II. Andantino,Matilda Lloyd,1
"Piano Trio No. 3 in F Minor, Op. 65, B. 130: III. Poco adagio - Meno mosso",Christian Tetzlaff,1
"Puccini: Turandot / Act 3 - ""Nessun dorma!""","Luciano Pavarotti, The John Alldis Choir, Wandsworth School Boys Choir, London Philharmonic Orchestra, Zubin Mehta & Giacomo Puccini",1
O mio babbino caro from Gianni Schicchi,Kiri Te Kanawa,1
Skinny Love,Vitamin String Quartet,1
Runaway,Ramin Djawadi,1
Stay,Lee England Jr,1
Dancing in the Street,Van Halen,1
Right Now,Van Halen,1
Ain't Talkin' 'Bout Love,Van Halen,1
You Really Got Me,Van Halen,1
Runnin' with the Devil,Van Halen,1
Little One,Highly Suspect,1
New Age Girl,Big Hits & Big Hits,1
Ten Thousand Fists,Disturbed,1
Anchor,Skillet,1
Girlfriend,Badflower,1
"Fire, Ready, Aim",Green Day,1
The Pride,Five Finger Death Punch,1
I Ran,A Flock Of Seagulls,1
Hurt,Sevendust,1
Remember We Die,Gemini Syndrome,1
Dancehall Domine,The New Pornographers,1
Mr. Mistoffelees,Laurie Davidson,1
Reasons To Be Beautiful,Hole,1
Badman's Song,Tears For Fears,1
Chains of Love,Erasure,1
My Name,Shinedown,1
Whiplash,Metallica,1
I Don't Want It,Hopsin,1
Pictures at an Exhibition: II. Il vecchio castello,Leonard Bernstein,1
"Concerto Grosso in A minor, Op. 6, No. 4, HWV 322: Concerto Grosso in A minor, Op. 6, No. 4: Largo, e piano",Jozef Kopelman,1
"Chopin: Cello Sonata In G Minor, Op.65 - 3. Largo",Mstislav Rostropóvich,1
Elgar: Nimrod,Royal Philharmonic Orchestra - Carl Davis & Edward Elgar,1
"Mozart: Piano Sonata No.10 in C major, K.330 - 2. Andante cantabile",Mitsuko Uchida & Wolfgang Amadeus Mozart,1
Sergio Leone Suite: Deborah's Theme From Once Upon A Time In America,Yo-Yo Ma,1
The Girl with Flaxen Hair,Joshua Bell,1
"J.S. Bach: The Art Of Fugue, BWV 1080 - Version For String Quartet - Contrapunctus 14:  Fuga a 3 Soggetti",Emerson String Quartet & Johann Sebastian Bach,1
"Brahms: Clarinet Sonata No. 1 in F Minor, Op. 120: III. Allegretto grazioso","Jon Manasse, Jon Nakamatsu, Johannes Brahms & Johannes Brahms",1
"Mozart: Sonata for Piano and Violin in F, K.376 - 1. Allegro","Hilary Hahn, Natalie Zhu & Wolfgang Amadeus Mozart",1
"Unaccompanied Cello Suite No. 4 in E-Flat Major, BWV 1010: IV. Sarabande",Yo-Yo Ma,1
"Serenade, D. 957, No. 4",Joshua Bell & Franz Schubert,1
Adagio In G Minor,Tomaso Albinoni,1
"Mozart: Serenade in G Major, K. 525 ""Eine kleine Nachtmusik"" - 1. Allegro","Wiener Philharmoniker, Karl Böhm & Wolfgang Amadeus Mozart",1
Albinoni: Adagio In G Minor,Various artists,1
"Mozart: Piano Sonata No. 12 in F Major, K. 332 - 2. Adagio",Mitsuko Uchida & Wolfgang Amadeus Mozart,1
"Unaccompanied Cello Suite No. 1 in G major, BWV 1007: V. Menuets I & II",Yo-Yo Ma,1
"Handel: Water Music Suite in D Major, HWV 349 - Hornpipe","Academy of St. Martin in the Fields, Sir Neville Marriner & George Frideric Handel",1
Bottom Feeder,Parkway Drive,1
